Start Time:  8/4/2017 3:06:44 PM          Time Completed:  8/4/2017 3:30:01 PM      Elapsed Time:  00:23:19
Sample ID:     3-112 C+D

Experiment:    C:\IDEASVSM\Default UserID\Experiments\mf200Oe\mf200Oe.exp
Data File:     C:\IDEASVSM\Default UserID\3-112 C+D (ProfileData)\3-112 C+D#3.txt
Plot File:     C:\IDEASVSM\Default UserID\3-112 C+D (ProfileData)\3-112 C+D#3.oc2
VSM Exp File:  C:\IDEASVSM\Default UserID\Experiments\mf200Oe\mf200Oe.stp
VSM Data File: C:\IDEASVSM\Default UserID\3-112 C+D (ProfileData)\3-112 C+D#3.dat

***DATA***

Field(G)	 Moment(emu)	
 200.26 	 0.014016 	
 193.54 	 0.013986 	
 187.1 	 0.013931 	
 180.65 	 0.013897 	
 174.19 	 0.013843 	
 167.74 	 0.013795 	
 161.29 	 0.013749 	
 154.82 	 0.013689 	
 148.37 	 0.013619 	
 141.94 	 0.013546 	
 135.49 	 0.013478 	
 129.03 	 0.013381 	
 122.55 	 0.013294 	
 116.12 	 0.013211 	
 109.67 	 0.013106 	
 103.22 	 0.012952 	
 96.772 	 0.012818 	
 90.298 	 0.012672 	
 83.823 	 0.012472 	
 77.417 	 0.012294 	
 70.965 	 0.012075 	
 64.516 	 0.011797 	
 58.031 	 0.011455 	
 51.605 	 0.01106 	
 45.14 	 0.01057 	
 38.684 	 0.0099427 	
 32.246 	 0.0091414 	
 25.771 	 0.0080761 	
 19.33 	 0.0067045 	
 12.855 	 0.0049115 	
 6.4073 	 0.0027043 	
-0.022426 	 0.00019994 	
-6.476 	-0.0023484 	
-12.918 	-0.0045538 	
-19.386 	-0.0063348 	
-25.828 	-0.0076968 	
-32.302 	-0.0087642 	
-38.754 	-0.0095652 	
-45.174 	-0.010189 	
-51.643 	-0.010686 	
-58.112 	-0.011096 	
-64.562 	-0.011419 	
-71.019 	-0.011695 	
-77.457 	-0.011931 	
-83.913 	-0.012124 	
-90.363 	-0.01229 	
-96.819 	-0.01245 	
-103.22 	-0.0126 	
-109.71 	-0.012725 	
-116.16 	-0.012824 	
-122.62 	-0.012919 	
-129.08 	-0.013027 	
-135.53 	-0.013115 	
-141.94 	-0.013187 	
-148.42 	-0.013258 	
-154.86 	-0.013327 	
-161.34 	-0.013379 	
-167.78 	-0.013443 	
-174.2 	-0.013507 	
-180.68 	-0.013542 	
-187.11 	-0.013605 	
-193.56 	-0.013635 	
-200.05 	-0.013673 	
-193.54 	-0.013643 	
-187.09 	-0.013603 	
-180.64 	-0.013557 	
-174.17 	-0.013484 	
-167.75 	-0.013455 	
-161.25 	-0.013394 	
-154.84 	-0.013346 	
-148.38 	-0.013279 	
-141.9 	-0.0132 	
-135.49 	-0.013131 	
-129.01 	-0.013038 	
-122.57 	-0.012935 	
-116.1 	-0.012851 	
-109.64 	-0.012745 	
-103.22 	-0.012606 	
-96.732 	-0.012471 	
-90.307 	-0.012311 	
-83.83 	-0.012132 	
-77.419 	-0.01193 	
-70.944 	-0.011701 	
-64.52 	-0.011425 	
-58.06 	-0.011086 	
-51.576 	-0.0107 	
-45.152 	-0.010195 	
-38.672 	-0.009572 	
-32.223 	-0.0087653 	
-25.78 	-0.0077081 	
-19.347 	-0.0063123 	
-12.892 	-0.0045419 	
-6.4511 	-0.0023366 	
 0.0060571 	 0.00020688 	
 6.4612 	 0.0027383 	
 12.909 	 0.0049478 	
 19.354 	 0.0067284 	
 25.805 	 0.0081099 	
 32.069 	 0.0091344 	
 38.733 	 0.0099743 	
 45.167 	 0.010608 	
 51.63 	 0.011097 	
 58.108 	 0.0115 	
 64.533 	 0.011821 	
 71.005 	 0.012109 	
 77.427 	 0.012344 	
 83.875 	 0.012541 	
 90.327 	 0.012723 	
 96.772 	 0.01288 	
 103.26 	 0.013018 	
 109.69 	 0.013145 	
 116.14 	 0.013246 	
 122.59 	 0.013346 	
 129.07 	 0.013454 	
 135.52 	 0.013561 	
 141.94 	 0.013615 	
 148.43 	 0.013691 	
 154.84 	 0.013754 	
 161.32 	 0.013817 	
 167.77 	 0.013885 	
 174.2 	 0.013935 	
 180.68 	 0.013976 	
 187.12 	 0.014025 	
 193.54 	 0.014074 	
 200.01 	 0.014104 	

	
	
