"range","field","moment","reciprocal","norm","magnetization"
200.1,200.11,14.6835,0.00499725151166858,0.982272468809579,361.95361269002
200.1,189.18,14.6735,0.00528597103287874,0.981603505368432,361.707109054858
200.1,178.36,14.6785,0.00560663825969948,0.981937987089006,361.830360872439
200.1,167.54,14.6365,0.00596872388683299,0.979128340636184,360.795045604759
200.1,156.73,14.6425,0.00638039941300325,0.979529718700873,360.942947785856
200.1,145.92,14.6065,0.0068530701754386,0.977121450312741,360.055534699273
200.1,135.12,14.6005,0.007400828892836,0.976720072248052,359.907632518176
200.1,124.3,14.5525,0.0080450522928399,0.973509047730542,358.724415069399
200.1,113.49,14.5265,0.00881134901753458,0.971769742783557,358.083505617978
200.1,102.68,14.4955,0.00973899493572263,0.969695956115999,357.319344348976
200.1,91.868,14.4545,0.0108851830887796,0.966953206007292,356.308679444812
200.1,81.057,14.4055,0.0123369974215675,0.963675285145667,355.100811632518
200.1,70.245,14.3545,0.0142358886753506,0.960263571595813,353.843643093192
200.1,59.438,14.2825,0.016824253844342,0.955447034819547,352.068816920026
200.1,48.623,14.1785,0.020566398617938,0.948489815031609,349.505179114342
200.1,37.814,14.0475,0.026445231924684,0.939726393952571,346.275981493721
200.1,27.002,13.7925,0.0370342937560181,0.922667826203298,339.990138797092
200.1,16.191,13.1995,0.0617627076771046,0.882998294143225,325.372473231989
200.1,5.3791,10.5615,0.18590470524809,0.706525738368398,260.344814276272
200.1,-5.4318,-11.0005,-0.184101034647815,-0.735893233434793,-271.166323859881
200.1,-16.241,-13.3725,-0.0615725632658088,-0.894571361675084,-329.636986120291
200.1,-27.057,-13.9545,-0.0369590124551872,-0.933505033949895,-343.983497686715
200.1,-37.866,-14.1795,-0.0264089156499234,-0.948556711375723,-349.529829477859
200.1,-48.679,-14.3465,-0.0205427391688408,-0.959728400842894,-353.646440185063
200.1,-59.488,-14.4445,-0.0168101129639591,-0.966284242566144,-356.06217580965
200.1,-70.308,-14.5125,-0.0142231325027024,-0.97083319396595,-357.738400528751
200.1,-81.111,-14.5905,-0.0123287840120329,-0.976051108806904,-359.661128883014
200.1,-91.924,-14.6385,-0.0108785518471781,-0.979262133324414,-360.844346331791
200.1,-102.73,-14.6785,-0.00973425484279178,-0.981937987089006,-361.830360872439
200.1,-113.55,-14.7075,-0.00880669308674593,-0.983877981068335,-362.545221414408
200.1,-124.35,-14.7355,-0.00804181745074387,-0.985751078703549,-363.235431592862
200.1,-135.16,-14.7805,-0.00739863865048831,-0.988761414188715,-364.34469795109
200.1,-145.98,-14.8085,-0.006850253459378,-0.990634511823929,-365.034908129544
200.1,-156.79,-14.8365,-0.00637795777791951,-0.992507609459143,-365.725118307997
200.1,-167.6,-14.8675,-0.00596658711217184,-0.994581396126702,-366.489279576999
200.1,-178.41,-14.8935,-0.00560506698055042,-0.996320701073686,-367.13018902842
200.1,-189.22,-14.9085,-0.00528485360955501,-0.997324146235408,-367.499944481163
200.1,-200.03,-14.9485,-0.00499925011248313,-1,-368.485959021811
200.1,-189.17,-14.9195,-0.00528625046254691,-0.998060006020671,-367.771098479841
